City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Condition,Date
62,Luderitz,NA,-26.65,15.16,78.8,15,0,16.11,clear sky,2020-07-31 01:13:36
63,Chuy,UY,-33.7,-53.46,45.63,88,0,8.59,clear sky,2020-07-31 01:13:36
64,Berezna,UA,51.57,31.78,57.78,92,97,5.44,overcast clouds,2020-07-31 01:13:37
65,Trang,TH,7.5,99.5,77.0,100,20,2.24,few clouds,2020-07-31 01:13:37
66,Komsomolets,KZ,53.75,62.07,61.93,87,11,8.08,few clouds,2020-07-31 01:13:37
67,Weyburn,CA,49.67,-103.85,91.0,44,0,5.01,clear sky,2020-07-31 01:10:24
68,Port Macquarie,AU,-31.43,152.92,61.0,72,100,3.0,light rain,2020-07-31 01:08:43
69,Kodiak,US,57.79,-152.41,62.6,67,75,17.22,broken clouds,2020-07-31 01:13:37
70,Caravelas,BR,-17.71,-39.25,71.37,80,0,7.14,clear sky,2020-07-31 01:13:37
71,New Norfolk,AU,-42.78,147.06,55.0,78,100,3.0,overcast clouds,2020-07-31 01:13:37
72,Sernur,RU,56.93,49.15,55.83,93,38,7.83,scattered clouds,2020-07-31 01:13:37
73,Saskylakh,RU,71.92,114.08,61.63,57,0,3.62,clear sky,2020-07-31 01:13:37
74,Bambous Virieux,MU,-20.34,57.76,69.8,88,75,4.7,broken clouds,2020-07-31 01:13:38
75,Tias,ES,28.96,-13.64,73.4,73,90,11.41,overcast clouds,2020-07-31 01:13:38
76,Coruripe,BR,-10.13,-36.18,72.73,85,19,10.63,light rain,2020-07-31 01:13:11
77,Bilibino,RU,68.05,166.44,52.2,59,100,5.23,overcast clouds,2020-07-31 01:13:38
78,Umkomaas,ZA,-30.21,30.8,68.0,91,9,7.58,clear sky,2020-07-31 01:13:38
79,Gewane,ET,10.17,40.65,74.07,86,100,1.92,heavy intensity rain,2020-07-31 01:13:38
80,Saint George,US,37.1,-113.58,108.0,8,1,10.29,clear sky,2020-07-31 01:11:03
